Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Egg McMuffin,62.5,25,13,20,5,25,0,260,87,750,31,31,10,4,17,0.625,3.5,10,0,25,15
Breakfast,Egg White Delight,52.08333333,14.58333333,8,12,3,15,0,25,8,770,32,30,10,4,17,0.625,3.8,6,0,25,8
Breakfast,Sausage McMuffin,94.87179487,51.28205128,23,35,8,42,0,45,15,780,33,29,10,4,17,0.512820513,3.6,8,0,25,10
Breakfast,Sausage McMuffin with Egg,78.94736842,43.85964912,28,43,10,52,0,285,95,860,36,30,10,4,17,0.350877193,3.7,15,0,30,15
Breakfast,Sausage McMuffin with Egg Whites,70.1754386,36.84210526,23,35,8,42,0,50,16,880,37,30,10,4,17,0.350877193,3.7,6,0,25,10
Breakfast,Steak & Egg McMuffin,66.15384615,32.30769231,23,36,9,46,1,300,100,960,40,31,10,4,18,0.461538462,4,15,2,30,20
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",86.79245283,43.39622642,26,40,13,65,0,250,83,1300,54,38,13,2,7,0.566037736,3.6,10,8,15,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",89.65517241,46.55172414,30,47,14,68,0,250,83,1410,59,43,14,3,12,0.689655172,3.3,15,8,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",75.92592593,33.33333333,20,32,11,56,0,35,11,1300,54,36,12,2,7,0.555555556,3.7,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",79.66101695,37.28813559,25,38,12,59,0,35,11,1420,59,42,14,3,12,0.677966102,3.4,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),104.8780488,58.53658537,27,42,12,62,0,30,10,1080,45,34,11,2,6,0.487804878,2.7,0,0,6,15
